线路一,#genre#
CCTV-1综合,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226235/index.m3u8
CCTV-1综合,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226125/2.m3u8
CCTV-2财经,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226126/3.m3u8
CCTV-3综艺http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4中文国际,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226127/3.m3u8
CCTV-5体育,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7国防军事,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226128/3.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10科教,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226241/index.m3u8
CCTV-10科教,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226129/3.m3u8
CCTV-11戏曲,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226130/3.m3u8
CCTV-12社会与法,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226131/3.m3u8
CCTV-13新闻,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226132/3.m3u8
CCTV-14少儿,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
CCTV-14少儿,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226134/3.m3u8
CCTV-15音乐,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226133/3.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
湖南卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226117/2.m3u8
浙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226257/index.m3u8
江苏卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226238/index.m3u8
东方卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225887/3.m3u8
东方卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226115/2.m3u8
北京卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226234/index.m3u8
天津卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226254/index.m3u8
湖北卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226210/index.m3u8
浙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225899/3.m3u8
东方卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225887/3.m3u8
天津卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226160/3.m3u8
东南卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226244/index.m3u8
东方卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226236/index.m3u8
四川卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226252/index.m3u8
安徽卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8
山东卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226253/index.m3u8
广东卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226237/index.m3u8
江西卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226250/index.m3u8
河北卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226247/index.m3u8
海南卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226246/index.m3u8
深圳卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
贵州卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226245/index.m3u8
辽宁卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
重庆卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226243/index.m3u8
黑龙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
东南卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8
北京卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226122/2.m3u8
天津卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226160/1.m3u8
安徽卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226150/1.m3u8
山东卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226123/2.m3u8
广东卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226119/2.m3u8
江苏卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226121/2.m3u8
江西卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226159/1.m3u8
浙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225899/3.m3u8
浙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226116/2.m3u8
深圳卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226120/2.m3u8
湖北卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226124/2.m3u8
辽宁卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8
黑龙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225968/3.m3u8
黑龙江卫视 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226118/2.m3u8
安徽卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226150/3.m3u8
四川卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226153/3.m3u8
贵州卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226155/3.m3u8
东南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226154/3.m3u8
辽宁卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226157/3.m3u8
吉林卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226156/3.m3u8
黑龙江卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221225968/3.m3u8
江西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226159/3.m3u8
重庆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226158/3.m3u8
广西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226161/3.m3u8
欢笑剧场,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226144/3.m3u8
都市剧场,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226143/3.m3u8
cetv1,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226179/3.m3u8
cetv4,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226114/3.m3u8
海南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226163/3.m3u8
河南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226162/3.m3u8
陕西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226167/3.m3u8
山西卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226174/3.m3u8
云南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226170/3.m3u8
厦门卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226175/3.m3u8
青海卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226164/3.m3u8
河北卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226165/3.m3u8
西藏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226169/3.m3u8
内蒙古卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226166/3.m3u8
新疆卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226168/3.m3u8
甘肃卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226172/3.m3u8
兵团卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226171/3.m3u8
宁夏卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226173/3.m3u8
CCTV-10科教,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226129/3.m3u8
CCTV-14少儿,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226134/3.m3u8
CCTV-15音乐,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226133/3.m3u8
上海IGS,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226136/3.m3u8
都市剧场,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226143/3.m3u8
四川卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226153/3.m3u8
贵州卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226155/3.m3u8
东南卫视,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226154/3.m3u8
全纪实 ,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226180/1.m3u8
NewTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/1.m3u8
NewTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/1.m3u8
NewTV东北热剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226202/index.m3u8
NewTV欢乐剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226210/index.m3u8
欢笑剧场,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226144/3.m3u8
都市剧场,http://huaweicdn.hb.chinamobile.com/PLTV/88888888/224/3221226143/3.m3u8
NewTV军旅剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV古装剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV家庭剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV明星大片 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTV爱情喜剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV精品大剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV超级电视剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV动作电影 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV超级电影 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV东北热剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV中国功夫 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
NewTV农业致富 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8
NewTV惊悚悬疑 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
NewTV武搏世界 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225680/index.m3u8
NewTV欢乐剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTV潮妈辣婆 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV炫舞未来 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8
NewTV爱情喜剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV精品纪录 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV超级体育 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV超级电影 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电视剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV超级综艺 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV金牌综艺 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTV明星大片 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTV海外剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
NewTV动作电影 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV家庭剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTV精品大剧 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
NewTV军事评论 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
NewTV军旅剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTV古装剧场 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
NewTV怡伴健康 ,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8
NewTV东北热剧 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226202/index.m3u8
NewTV中国功夫 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225660/index.m3u8
NewTV军事评论 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225757/index.m3u8
NewTV军旅剧场 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225669/index.m3u8
NewTV农业致富 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225670/index.m3u8
NewTV动作电影 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225671/index.m3u8
NewTV古装剧场 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225678/index.m3u8
NewTV家庭剧场 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225713/index.m3u8
NewTV怡伴健康 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225666/index.m3u8
NewTV惊悚悬疑 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225717/index.m3u8
